"name","city","state","zip"
"Eufaula Florist and Gifts","Eufaula","AL","36027"
"Golden Touch Florist","Greensboro","AL","36744"
"Candy Bouquet","Anchorage","AK","99503"
"All Occasion Florist","Greenville","AL","36037"
"The Petal Cart","Helena","AL","35080"
"Burns Florist","Hanceville","AL","35077"
"Trellis","Gilbertown","AL","36908"
"Sue's Flowers","Higdon","AL","35979"
"Smith Florist","Hartselle","AL","35640"
"Seaside Florist","Foley","AL","36535"
"Blakelee's Bouquets","Birmingham","AL","35209"
"Eddie's Florist Inc","Henagar","AL","35978"
"Hartford's Florists Gifts","Hartford","AL","36344"
"Becky's Wholesale Flowers","Haleyville","AL","35565"
"Rock House Flowers","Guntersville","AL","35976"
"Rabbit's Nest Florist and Gifts","Harvest","AL","35749"
"Affectionate Flowers","Florence","AL","35630"
"Emma Kate Flower Gift Shop","Hamilton","AL","35570"
"Gadsden Florist and Gifts","Gadsden","AL","35901"
"Helena Florist","Helena","AL","35080"
"Benefield Florist","Heflin","AL","36264"
"Last Blossom","Greenville","AL","36037"
"The Sparrow's Nest","Headland","AL","36345"
"Ladybug Florist","Horton","AL","35980"
"Shan-Tiffy's","Hartford","AL","36344"
"Glenn's Of Huntsville","Huntsville","AL","35801"
"City Florist","Hartselle","AL","35640"
"Hughes Trading Group Inc","Haleyville","AL","35565"
"Miles Of Flowers","Dothan","AL","36305"
"Basket Case Gift Baskets Flowe","Anchorage","AK","99515"
"Dianne's Flowers","Houston","AL","35572"
"Its Just Perfect","Foley","AL","36535"
"The Arrangement at Contri","Birmingham","AL","35206"
"Kozy Kutz Florist Gift Shop","Gilbertown","AL","36908"
"Sharon's Flowers","Higdon","AL","35979"
"Petals And Paws","Guntersville","AL","35976"
"Treasure Shack Flowers Gifts","Henagar","AL","35978"
"Thistle Vine","Ider","AL","35981"
"Brittani's Florist","Hamilton","AL","35570"
"Flowertown","Jackson","AL","36545"
"Tia's Balloons Gifts Variety Shop","Florence","AL","35633"
"All Occasion Creations","Greenville","AL","36037"
"Bell Ringer Florist","Heflin","AL","36264"
"Seaside Florist","Foley","AL","36535"
"Hughes Trading Inc","Haleyville","AL","35565"
"A Bloomin Florist","Gadsden","AL","35905"
"Southern Rose Florists Gifts","Irvington","AL","36544"
"Davis Floral Antique","Headland","AL","36345"
"Cathy's Florist","Gilbertown","AL","36908"
"Hartselle Florist and Gifts","Hartselle","AL","35640"
"Schad Flower Garden Shop","Dothan","AL","36303"
"Wilma's Florist","Jasper","AL","35501"
"Jemison Florist","Jemison","AL","35085"
"Deb's Flowers Gifts","Ider","AL","35981"
"Floral Creations","Jackson","AL","36545"
"Mitchell's Florist","Huntsville","AL","35805"
"Hulaco Flowers, Gifts Trading Co.","Joppa","AL","35087"
"Hamilton Nursery Flowers","Hamilton","AL","35570"
"Nonna's Floral Gifts","Florence","AL","35630"
"A Touch-Class Flowers Gifts","Foley","AL","36535"
"Millie's Flowers","Hartselle","AL","35640"
"The Dizzy Daisy Florist","Gilbertown","AL","36908"
"Lasting Impressions","Killen","AL","35645"
"Flower Girls of Gadsden","Gadsden","AL","35905"
"Bradley Florists Gifts","Kinston","AL","36453"
"Adana's Florist Decor","Dothan","AL","36305"
"Fmi Alabama Gro Up","Birmingham","AL","35209"
"It's A Family Affair","Lanett","AL","36863"
"Buds N Blossoms","Lafayette","AL","36862"
"The Vintage Garden","Jemison","AL","35085"
"Leaf Petal","Jasper","AL","35501"
"Hydes Florist Greenhouse","Florence","AL","35633"
"Donna's Florist Gifts","Jackson","AL","36545"
"Christie's the Florist","Foley","AL","36535"
"Fruit Arrangements By Design","Anchorage","AK","99503"
"Olive Branch","Gilbertown","AL","36908"
"A Bloomln Florist","Gadsden","AL","35905"
"Carol's Flowers Gifts","Huntsville","AL","35810"
"Carl-Ann Florist Gifts","Leeds","AL","35094"
"Candy Bouquet","Dothan","AL","36303"
"Chambers Florist Tuxedo","Leesburg","AL","35983"
"Doshia's Inc","Leroy","AL","36548"
"Robert and Emma Florist","Birmingham","AL","35218"
"Olive Branch","Gilbertown","AL","36908"
